frame.time_utc,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.protocols,frame.time_delta,frame.time_relative,frame.time_delta_displayed,frame.len,eth.src.oui,eth.dst.oui,tcp.len,tcp.ack,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,label
"Dec 22, 2023 03:10:16.011830000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.003713,4.229712,0.003713,64,5797493,7080836,10,97,10,0.003713,1
"Dec 22, 2023 03:10:16.013959000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.002129,4.231841,0.002129,65,84,7080836,11,121,11,0,1
"Dec 22, 2023 03:10:16.015081000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.001122,4.232963,0.001122,66,7080836,84,12,204,12,0.001122,1
"Dec 22, 2023 03:10:16.019583000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.004502,4.237465,0.004502,90,84,7080836,36,133,36,0.004502,1
"Dec 22, 2023 03:10:16.020140000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000557,4.238022,0.000557,66,7080836,84,12,240,12,0.000557,1
"Dec 22, 2023 03:10:16.031465000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.011325,4.249347,0.011325,71,84,7080836,17,145,17,0.011325,1
"Dec 22, 2023 03:10:16.212949000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp,0.181484,4.430831,0.181484,54,7080836,5797493,0,173,0,0.201119,1
"Dec 22, 2023 03:10:16.223985000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp,0.011036,4.441867,0.011036,54,7080836,84,0,257,0,0.19252,1
"Dec 22, 2023 03:10:16.253120000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.029135,4.471002,0.029135,85,7080836,6939,31,186,31,0,1
"Dec 22, 2023 03:10:16.303579000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.050459,4.521461,0.050459,60,6939,7080836,0,156,0,0.050459,1
"Dec 22, 2023 03:10:16.495915000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.073423,4.713797,0.073423,133,6939,7080836,79,156,79,0,1
"Dec 22, 2023 03:10:16.496129000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.000214,4.714011,0.000214,85,7080836,6939,31,265,31,0.000214,1
"Dec 22, 2023 03:10:16.803054000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp,0.306925,5.020936,0.306925,85,7080836,6939,31,265,31,0,1
"Dec 22, 2023 03:10:16.852144000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.04909,5.070026,0.04909,60,6939,7080836,0,187,0,0.356015,1
"Dec 22, 2023 03:10:17.083080000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.077223,5.300962,0.077223,82,6939,7080836,28,187,28,0,1
"Dec 22, 2023 03:10:17.083281000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.000201,5.301163,0.000201,85,7080836,6939,31,293,31,0.000201,1
"Dec 22, 2023 03:10:17.130747000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.047466,5.348629,0.047466,60,6939,7080836,0,218,0,0.047466,1
"Dec 22, 2023 03:10:17.192080000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.061333,5.409962,0.061333,66,7080836,5797493,12,173,12,0,1
"Dec 22, 2023 03:10:17.192084000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,4.00E-06,5.409966,4.00E-06,66,7080836,84,12,257,12,0,1
"Dec 22, 2023 03:10:17.193990000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp,0.001906,5.411872,0.001906,64,84,7080836,0,157,0,0.001906,1
"Dec 22, 2023 03:10:17.196636000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.002646,5.414518,0.002646,87,5797493,7080836,33,109,33,0.004556,1
"Dec 22, 2023 03:10:17.197015000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000379,5.414897,0.000379,66,7080836,5797493,12,206,12,0.000379,1
"Dec 22, 2023 03:10:17.198747000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.001732,5.416629,0.001732,65,84,7080836,11,157,11,0,1
"Dec 22, 2023 03:10:17.199071000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000324,5.416953,0.000324,66,7080836,84,12,268,12,0.000324,1
"Dec 22, 2023 03:10:17.200709000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.001638,5.418591,0.001638,64,5797493,7080836,10,121,10,0.003694,1
"Dec 22, 2023 03:10:17.209769000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.00906,5.427651,0.00906,90,84,7080836,36,169,36,0.010698,1
"Dec 22, 2023 03:10:17.210086000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000317,5.427968,0.000317,66,7080836,84,12,304,12,0.000317,1
"Dec 22, 2023 03:10:17.214784000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.004698,5.432666,0.004698,71,84,7080836,17,181,17,0.004698,1
"Dec 22, 2023 03:10:17.400592000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.185808,5.618474,0.185808,80,6939,7080836,26,218,26,0,1
"Dec 22, 2023 03:10:17.400737000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.000145,5.618619,0.000145,85,7080836,6939,31,319,31,0.000145,1
"Dec 22, 2023 03:10:17.402006000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp,0.001269,5.619888,0.001269,54,7080836,5797493,0,216,0,0.201297,1
"Dec 22, 2023 03:10:17.422035000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp,0.020029,5.639917,0.020029,54,7080836,84,0,321,0,0.207251,1
"Dec 22, 2023 03:10:17.448685000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.02665,5.666567,0.02665,60,6939,7080836,0,249,0,0.047948,1
"Dec 22, 2023 03:10:17.722684000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.273999,5.940566,0.273999,80,6939,7080836,26,249,26,0,1
"Dec 22, 2023 03:10:17.922047000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp,0.199363,6.139929,0.199363,54,7080836,6939,0,345,0,0.199363,1
"Dec 22, 2023 03:10:18.375156000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.453109,6.593038,0.453109,66,7080836,84,12,321,12,0,1
"Dec 22, 2023 03:10:18.376177000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.001021,6.594059,0.001021,66,7080836,5797493,12,216,12,0,1
